Unnamed: 0,table_nm,sido,sigungu,adong,gender,age,cert,nat_nm,cnt,base_ym,gbn
2897330,3.행정동,충청북도,영동군,영동읍,남성,45~49세,,,3,202312,등록외국인
701340,1.국적,인천광역시,동구,,남성,,,브라질,0,202312,거소신고자
3391727,3.행정동,서울특별시,강북구,번2동,남성,120세,,,0,202312,등록외국인
3528596,4.연령대,전라북도,전주시 덕진구,,남성,35세~39세,,,222,202209,등록외국인
407967,1.국적,경기도,하남시,,여성,,,불가리아,0,202503,등록외국인
2730266,3.행정동,강원도,춘천시,석사동,남성,15~19세,,,4,202212,등록외국인
3967820,3.행정동,충청북도,청주시 서원구,분평동,여성,45~49세,,,8,202403,등록외국인
4170144,4.연령대,부산광역시,해운대구,,남성,72세,,,7,202412,등록외국인
3667558,3.행정동,부산광역시,사하구,감천제2동,여성,80세이상,,,0,202403,등록외국인
1874558,1.국적,충청북도,청주시 상당구,,남성,,,오만,0,202309,등록외국인
2628819,3.행정동,서울특별시,중구,약수동,남성,10~14세,,,8,202409,등록외국인
1120120,1.국적,부산광역시,동구,,여성,,,짐바브웨,0,202403,등록외국인
3557870,3.행정동,경기도,파주시,조리읍,여성,80세이상,,,0,202403,등록외국인
577165,1.국적,충청남도,태안군,,여성,,,우루과이,0,202503,등록외국인
3604715,3.행정동,제주특별자치도,서귀포시,성산읍,여성,60~64세,,,27,202406,등록외국인
1936132,3.행정동,전라남도,담양군,담양읍,여성,120세,,,0,202212,등록외국인
2959894,3.행정동,경기도,고양시 일산동구,고봉동,여성,75~79세,,,0,202206,등록외국인
3550547,3.행정동,광주광역시,광산구,송정2동,여성,5~9세,,,4,202412,등록외국인
1227953,1.국적,부산광역시,수영구,,여성,,,마카오,0,202309,거소신고자
1482078,1.국적,경기도,성남시 분당구,,여성,,,니카라과,0,202403,등록외국인
2559009,3.행정동,전라북도,김제시,만경읍,여성,25~29세,,,8,202306,등록외국인
4064771,4.연령대,대전광역시,대덕구,,남성,29세,,,74,202503,등록외국인
1203005,1.국적,충청남도,태안군,,남성,,,케냐,0,202306,거소신고자
237504,1.국적,경기도,연천군,,남성,,,아일랜드,0,202206,등록외국인
1585231,2.체류자격,충청남도,천안시 동남구,,남성,,E2(회화강사),,14,202403,등록외국인
4178697,4.연령대,경상남도,거제시,,여성,55세~59세,,,114,202306,등록외국인
1664866,1.국적,인천광역시,부평구,,남성,,,브라질,0,202406,거소신고자
2523356,3.행정동,전라북도,군산시,나운3동,여성,120세,,,0,202312,등록외국인
562549,1.국적,경상북도,포항시 남구,,남성,,,타지키스탄,0,202206,거소신고자
3425366,4.연령대,강원특별자치도,영월군,,남성,3세,,,0,202409,거소신고자
4334122,4.연령대,강원도,강릉시,,남성,5세~9세,,,2,202206,거소신고자
4340265,4.연령대,경기도,수원시 팔달구,,여성,10세~14세,,,38,202309,거소신고자
1743300,1.국적,충청북도,제천시,,여성,,,불가리아,0,202409,등록외국인
3026950,1.국적,충청남도,금산군,,남성,,,팔레스타인,0,202409,등록외국인
1640948,2.체류자격,제주특별자치도,제주시,,여성,,E2(회화강사),,118,202209,등록외국인
3881436,3.행정동,서울특별시,성동구,행당제2동,여성,25~29세,,,10,202412,등록외국인
3052660,4.연령대,경상남도,통영시,,남성,17세,,,1,202412,거소신고자
2052339,2.체류자격,전라남도,장흥군,,여성,,F-4(재외동포),,0,202503,거소신고자
845299,1.국적,전라남도,강진군,,남성,,,튀르키예,0,202403,거소신고자
527325,1.국적,전북특별자치도,남원시,,여성,,,타이,38,202409,등록외국인
4238191,4.연령대,서울특별시,광진구,,남성,80세이상,,,14,202403,등록외국인
2237337,1.국적,부산광역시,부산진구,,여성,,,모리셔스,0,202206,등록외국인
959864,1.국적,충청남도,예산군,,남성,,,부탄,0,202303,등록외국인
3452335,3.행정동,서울특별시,강남구,대치4동,여성,70~74세,,,1,202503,등록외국인
2380228,3.행정동,경상남도,산청군,산청읍,여성,65~69세,,,0,202303,등록외국인
2718429,3.행정동,충청남도,홍성군,홍성읍,남성,65~69세,,,7,202412,등록외국인
2693998,3.행정동,대구광역시,북구,산격4동,남성,10~14세,,,1,202303,등록외국인
2675177,3.행정동,강원도,태백시,문곡소도동,여성,40~44세,,,2,202206,등록외국인
4161053,3.행정동,경상남도,진주시,이현동,여성,75~79세,,,0,202306,등록외국인
2795419,3.행정동,전라남도,화순군,백아면,남성,20~24세,,,0,202312,등록외국인
4004237,3.행정동,인천광역시,강화군,양도면,남성,60~64세,,,2,202303,등록외국인
1453130,3.행정동,인천광역시,계양구,효성2동,남성,10~14세,,,0,202209,등록외국인
1547737,3.행정동,전북특별자치도,전주시 덕진구,송천2동,남성,0~4세,,,0,202503,등록외국인
525145,1.국적,경상북도,울진군,,여성,,,루마니아,0,202206,거소신고자
3557034,3.행정동,서울특별시,강북구,수유제2동,여성,80세이상,,,0,202209,등록외국인
3613195,2.체류자격,경기도,동두천시,,남성,,F-4(재외동포),,0,202503,거소신고자
3707493,3.행정동,경기도,고양시 일산서구,덕이동,남성,40~44세,,,20,202309,등록외국인
2512980,1.국적,서울특별시,은평구,,여성,,,모리타니,0,202203,등록외국인
144802,1.국적,충청북도,옥천군,,남성,,,남아프리카공화국,0,202412,거소신고자
898944,1.국적,경상남도,김해시,,남성,,,필리핀,0,202312,거소신고자
1618876,1.국적,충청남도,서천군,,여성,,,남수단공화국,0,202312,등록외국인
1336759,1.국적,경상북도,포항시 북구,,남성,,,요르단,0,202309,등록외국인
3633109,3.행정동,경기도,용인시 처인구,모현읍,남성,25~29세,,,300,202412,등록외국인
3002356,1.국적,경기도,군포시,,남성,,,아이티,0,202403,등록외국인
404946,1.국적,전라북도,임실군,,남성,,,기타,0,202303,거소신고자
289757,1.국적,서울특별시,강북구,,여성,,,중앙아프리카공화국,0,202412,등록외국인
2654292,3.행정동,서울특별시,광진구,군자동,남성,80세이상,,,0,202503,등록외국인
2381056,3.행정동,경기도,이천시,증포동,남성,40~44세,,,10,202209,등록외국인
2219574,1.국적,전라북도,장수군,,여성,,,투르크메니스탄,0,202212,거소신고자
4326557,3.행정동,전라남도,화순군,한천면영외출장소,여성,5~9세,,,0,202206,등록외국인
3174373,4.연령대,경상남도,거제시,,남성,24세,,,10,202412,거소신고자
4330218,3.행정동,경기도,안양시 만안구,안양8동,여성,75~79세,,,0,202212,등록외국인
4370557,4.연령대,경기도,가평군,,남성,50세,,,2,202412,거소신고자
839016,1.국적,경기도,부천시 오정구,,여성,,,라트비아,0,202403,거소신고자
2851079,1.국적,경기도,광명시,,남성,,,중앙아프리카공화국,0,202309,등록외국인
2501846,3.행정동,서울특별시,서대문구,천연동,남성,111세,,,0,202303,등록외국인
3298609,3.행정동,경상북도,영천시,임고면,여성,35~39세,,,3,202312,등록외국인
3141546,4.연령대,강원특별자치도,횡성군,,남성,22세,,,0,202412,거소신고자
193085,1.국적,전라남도,고흥군,,여성,,,요르단,0,202412,거소신고자
2541654,3.행정동,세종특별자치시,(세종시),도담동,남성,15~19세,,,0,202303,등록외국인
3544329,3.행정동,서울특별시,서대문구,북아현동,여성,60~64세,,,10,202406,등록외국인
3698105,3.행정동,전라남도,곡성군,고달면,남성,20~24세,,,0,202206,등록외국인
1238730,1.국적,서울특별시,관악구,,남성,,,도미니카연방,0,202306,거소신고자
3970554,3.행정동,경기도,광주시,오포읍,여성,70~74세,,,2,202206,등록외국인
475423,1.국적,경기도,오산시,,여성,,,온두라스,0,202503,거소신고자
2018120,3.행정동,대구광역시,수성구,범어4동,남성,5~9세,,,0,202403,등록외국인
2030031,1.국적,강원도,속초시,,남성,,,아이슬란드,0,202303,등록외국인
2962180,4.연령대,전라남도,목포시,,남성,44세,,,59,202503,등록외국인
2461558,3.행정동,강원특별자치도,횡성군,안흥면,남성,50~54세,,,2,202503,등록외국인
453150,1.국적,전라북도,진안군,,남성,,,체코,0,202306,거소신고자
3633618,2.체류자격,전라남도,구례군,,여성,,H1(관광취업),,1,202312,등록외국인
4224185,4.연령대,경기도,광주시,,여성,45세~49세,,,326,202403,등록외국인
3971223,3.행정동,경기도,김포시,김포2동,여성,45~49세,,,0,202312,등록외국인
235351,1.국적,전라남도,목포시,,여성,,,네팔,7,202312,등록외국인
546327,1.국적,광주광역시,광산구,,여성,,,터키,0,202303,등록외국인
4024041,3.행정동,대구광역시,북구,칠성동,여성,45~49세,,,6,202312,등록외국인
1512999,1.국적,전라남도,목포시,,여성,,,프랑스,0,202312,거소신고자
2230008,3.행정동,부산광역시,남구,문현제3동,여성,5~9세,,,1,202309,등록외국인
1657132,1.국적,강원특별자치도,삼척시,,남성,,,아일랜드,0,202306,등록외국인
68174,1.국적,충청북도,제천시,,남성,,,키르기즈,14,202412,등록외국인
3052403,4.연령대,충청남도,천안시 동남구,,여성,65세,,,17,202412,등록외국인
4250468,4.연령대,대전광역시,유성구,,여성,45세~49세,,,132,202406,등록외국인
3096707,1.국적,인천광역시,서구,,남성,,,그리스,0,202409,거소신고자
1809313,1.국적,충청남도,태안군,,여성,,,이란,0,202309,거소신고자
325296,1.국적,충청남도,논산시,,남성,,,바누아투,0,202503,등록외국인
2790913,3.행정동,경상남도,양산시,소주동,남성,60~64세,,,4,202306,등록외국인
1739175,3.행정동,서울특별시,강남구,대치2동,여성,120세,,,0,202303,등록외국인
3079594,1.국적,전라남도,고흥군,,여성,,,파나마,0,202409,거소신고자
997423,1.국적,강원도,인제군,,여성,,,세네갈,0,202203,등록외국인
1566654,3.행정동,울산광역시,남구,수암동,여성,40~44세,,,10,202312,등록외국인
381904,1.국적,경상북도,영천시,,남성,,,베트남,523,202209,등록외국인
757121,1.국적,전라북도,전주시 완산구,,여성,,,프랑스,0,202303,등록외국인
1322039,2.체류자격,경상북도,문경시,,남성,,D8(기업투자),,1,202412,등록외국인
1095662,1.국적,전라남도,여수시,,남성,,,일본,19,202303,등록외국인
4028413,4.연령대,충청북도,진천군,,남성,30세~34세,,,1173,202312,등록외국인
743406,1.국적,경기도,부천시 오정구,,남성,,,모리셔스,0,202412,등록외국인
2862741,1.국적,충청북도,단양군,,여성,,,조지아,0,202409,등록외국인
2426048,1.국적,충청남도,서산시,,남성,,,홍콩거주난민,0,202309,등록외국인
48937,1.국적,경상남도,남해군,,여성,,,오만,0,202412,등록외국인
3710291,2.체류자격,경기도,화성시,,남성,,E7(특정활동),,1729,202312,등록외국인
2765522,1.국적,서울특별시,종로구,,여성,,,이란,1,202306,등록외국인
318527,1.국적,인천광역시,옹진군,,여성,,,덴마크,0,202412,거소신고자
748591,1.국적,충청북도,제천시,,여성,,,베냉,0,202309,등록외국인
1296163,1.국적,충청남도,천안시 동남구,,여성,,,모잠비크,1,202303,등록외국인
750034,1.국적,경기도,파주시,,여성,,,캐나다,5,202212,등록외국인
3190284,4.연령대,충청남도,아산시,,여성,57세,,,97,202503,등록외국인
2687673,1.국적,경상북도,봉화군,,남성,,,파푸아뉴기니,0,202203,등록외국인
1393865,1.국적,전라남도,무안군,,남성,,,브루나이,0,202306,등록외국인
3982691,3.행정동,경상북도,경산시,북부동,여성,80세이상,,,1,202412,등록외국인
1857105,3.행정동,경기도,화성시,매송면,남성,35~39세,,,14,202403,등록외국인
267446,1.국적,강원특별자치도,정선군,,여성,,,베네수엘라,0,202312,거소신고자
2431971,3.행정동,부산광역시,동구,범일제2동,여성,65~69세,,,1,202209,등록외국인
1651490,1.국적,경상북도,칠곡군,,여성,,,멕시코,1,202309,등록외국인
4094865,3.행정동,충청북도,충주시,교현.안림동,여성,15~19세,,,2,202406,등록외국인
3442728,4.연령대,전라남도,함평군,,남성,6세,,,0,202503,등록외국인
965523,1.국적,서울특별시,영등포구,,남성,,,니제르,0,202312,등록외국인
3791082,3.행정동,경기도,수원시 영통구,광교2동,남성,80세이상,,,0,202203,등록외국인
3640523,3.행정동,강원특별자치도,원주시,명륜2동,여성,10~14세,,,2,202403,등록외국인
2572448,3.행정동,경상남도,통영시,정량동,남성,50~54세,,,8,202406,등록외국인
3655708,4.연령대,경상북도,군위군,,남성,5세~9세,,,0,202306,거소신고자
1274970,1.국적,광주광역시,광산구,,남성,,,투발루,0,202306,등록외국인
2181871,3.행정동,대전광역시,동구,삼성동,여성,0~4세,,,0,202212,등록외국인
1057295,1.국적,충청북도,영동군,,남성,,,튀르키예,0,202303,거소신고자
1387905,1.국적,서울특별시,서대문구,,남성,,,스페인,0,202312,거소신고자
864822,1.국적,경기도,군포시,,여성,,,타이,0,202303,거소신고자
3613915,4.연령대,경상남도,창원시 마산합포구,,남성,50세,,,13,202409,등록외국인
2374348,3.행정동,서울특별시,강북구,송중동,남성,45~49세,,,8,202306,등록외국인
3129566,3.행정동,경상남도,합천군,가회면,남성,15~19세,,,0,202306,등록외국인
3320656,4.연령대,제주특별자치도,제주시,,여성,49세,,,10,202409,거소신고자
3924458,4.연령대,서울특별시,종로구,,남성,60세~64세,,,159,202306,등록외국인
1589525,2.체류자격,강원도,횡성군,,남성,,D1(문화예술),,0,202203,등록외국인
